| Material Name                   | Fit Type                   | Low Temp                   | High Temp                   | Perc Err                   | erf param                   | a                   | b                   | c                   | d                   | e                   | f                   | g                   | h                   | i                   | A                   | B                   | C                   | D                   |
| Stainless_Steel_316_lo          | Nppoly                     | 0.045                      | 57.052                      | 3.380                      | 4.80988e-02                 | 6.69184e-03         | -2.05278e-04        | 1.94109e-06         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel_316_hi          | polylog                    | 137.777                    | 1670.150                    | 3.392                      | -9.78724e-01                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 1.97904e+00         | -7.26205e-01        | 1.09896e-01         | 0.00e+00            | 
| Stainless_Steel_321             | comppoly                   | 0.393                      | 1623.194                    | 4.704                      | 1.16307e+02                 | 6.04956e-02         | 3.56046e-03         | -5.97515e-05        | 2.72011e-07         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -1.24785e+00        | 2.17727e+00         | -7.41366e-01        | 1.03982e-01         | 
| Teflon                          | polylog                    | 4.000                      | 300.000                     | 5.0                        | 0.00e+00                    | 2.73800e+00         | -3.06770e+01        | 8.94300e+01         | -1.36990e+02        | 1.24690e+02         | -6.95560e+01        | 2.33200e+01         | -4.31350e+00        | 3.38290e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ti6Al4V                         | polylog                    | 0.061                      | 1173.150                    | 11.491                     | -1.41506e+00                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 1.72407e+00         | -4.37855e-01        | 4.84062e-02         | 0.00e+00            | 
| Titanium_15333                  | polylog                    | 1.400                      | 300.000                     | 3.0                        | 0.00e+00                    | -2.39879e+00        | 8.97074e+00         | -2.91929e+01        | 5.48714e+01         | -5.96714e+01        | 3.88932e+01         | -1.49418e+01        | 3.11162e+00         | -2.70453e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Torlon                          | Nppoly                     | 0.303                      | 2.977                       | 3.265                      | 0.00e+00                    | -7.52786e-04        | 1.52769e-02         | -8.17215e-03        | 1.34033e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| VESPEL                          | Nppoly                     | 0.322                      | 3.032                       | 26.714                     | 0.00e+00                    | 2.53032e-04         | 3.15702e-03         | -1.80723e-03        | 3.40509e-04         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Wood_Balsa_11_lbft3             | polylog                    | 88.000                     | 300.000                     | 3.0                        | 0.00e+00                    | 4.81540e+03         | -1.29696e+04        | 1.45208e+04         | -8.65416e+03        | 2.89571e+03         | -5.15727e+02        | 3.81922e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Wood_Balsa_6_lbft3              | polylog                    | 88.000                     | 300.000                     | 1.5                        | 0.00e+00                    | 4.17245e+03         | -1.13100e+04        | 1.27451e+04         | -7.64758e+03        | 2.57731e+03         | -4.62538e+02        | 3.45351e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Wood_Beechwood_flatwise         | polylog                    | 92.000                     | 300.000                     | 1.5                        | 0.00e+00                    | 1.03533e+03         | -2.19185e+03        | 1.47051e+03         | 3.98450e+01         | -5.41904e+02        | 2.89844e+02         | -6.52253e+01        | 5.59956e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
