| Material Name             | Fit Type             | Low Temp             | High Temp             | a             | b             | c             | d             | e             | f             | g             | h             | i             | A             | erf param             | B             | C             | D             |
|  Polyurethane             | NIST-1               | 76.000               | 300.000               | -3.21868e+03  | 9.20161e+03   | -1.09567e+04  | 6.95010e+03   | -2.47694e+03  | 4.70284e+02   | -3.71669e+01  | 0.00000e+00   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  PVC (Polyvinyl Chloride) | NIST-1               | 100.000              | 300.000               | 1.13146e+04   | -3.08243e+04  | 3.49642e+04   | -2.11414e+04  | 7.18743e+03   | -1.30271e+03  | 9.83525e+01   | 0.00000e+00   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Teflon                   | NIST-1               | 4.000                | 300.000               | 2.73800e+00   | -3.06770e+01  | 8.94300e+01   | -1.36990e+02  | 1.24690e+02   | -6.95560e+01  | 2.33200e+01   | -4.31350e+00  | 3.38290e-01   | ^             | ^                     | ^             | ^             | ^             | 
|  Ti 6Al 4V (UNS R56400)   | NIST-1               | 23.000               | 300.000               | -5.10788e+03  | 1.92404e+04   | -3.07891e+04  | 2.71348e+04   | -1.42264e+04  | 4.43822e+03   | -7.63078e+02  | 5.57966e+01   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Titanium 15-3-3-3        | NIST-1               | 1.400                | 300.000               | -2.39879e+00  | 8.97074e+00   | -2.91929e+01  | 5.48714e+01   | -5.96714e+01  | 3.88932e+01   | -1.49418e+01  | 3.11162e+00   | -2.70453e-01  | ^             | ^                     | ^             | ^             | ^             | 
| Aluminum                  | loglog               | 0.264                | 1.061                 | -1.85104e+01  | 2.92536e+01   | 2.07719e+00   | -2.22005e+00  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Aluminum1                 | loglog               | 0.264                | 1.061                 | -1.85104e+01  | 2.92536e+01   | 2.07719e+00   | -2.22005e+00  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| CFRP                      | loglog               | 0.134                | 4.842                 | 2.49809e-04   | -2.17074e-03  | 5.20942e-03   | 3.99669e-03   | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Clearwater                | loglog               | 0.134                | 4.842                 | 2.64819e-04   | -2.54810e-03  | 6.89859e-03   | 3.33889e-03   | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| DPP                       | loglog               | 0.698                | 4.020                 | 9.26410e-05   | -1.26809e-03  | 4.36685e-03   | 1.05799e-03   | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Fiberglass                | loglog               | 0.304                | 2.971                 | 1.09025e-03   | -7.63211e-03  | 1.94298e-02   | -2.55459e-03  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Graphlite                 | loglog               | 0.309                | 4.015                 | 5.71214e-04   | -4.47993e-03  | 9.72794e-03   | 2.98036e-03   | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Ketron                    | loglog               | 0.298                | 2.851                 | 1.14031e-03   | -5.86097e-03  | 8.60986e-03   | -1.14537e-04  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Macor                     | loglog               | 0.337                | 3.213                 | -2.26171e-04  | 9.70551e-04   | 4.61593e-03   | -1.19627e-03  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| SS304                     | loglog               | 0.385                | 1672.000              | 1.74867e-09   | -1.33850e-06  | 9.93037e-05   | 9.42608e-02   | ^             | ^             | ^             | ^             | ^             | -1.02137e+00  | 6.07143e+02           | 9.53202e+00   | -2.90886e+01  | 3.04565e+01   | 
| SS310                     | loglog               | 0.374                | 1273.150              | 4.50594e-02   | -1.66211e-01  | 2.00471e-01   | -4.44485e-03  | ^             | ^             | ^             | ^             | ^             | 4.81506e-02   | 1.21329e+01           | -2.21432e-01  | 6.46708e-01   | 1.25346e-01   | 
| SS316                     | loglog               | 0.045                | 1670.150              | 2.28429e-06   | -2.24513e-04  | 6.91304e-03   | 4.78351e-02   | ^             | ^             | ^             | ^             | ^             | 1.09896e-01   | 5.70525e+01           | -7.26205e-01  | 1.97904e+00   | -9.78724e-01  | 
| SS321                     | loglog               | 0.393                | 1623.194              | 2.82546e-08   | -1.32457e-05  | 1.45849e-03   | 6.73329e-02   | ^             | ^             | ^             | ^             | ^             | 1.39397e-01   | 3.00000e+02           | -1.10551e+00  | 3.39910e+00   | -2.59064e+00  | 
| Steel                     | loglog               | 0.045                | 1672.000              | 3.50499e-11   | -9.17445e-09  | -9.03202e-05  | 8.20664e-02   | ^             | ^             | ^             | ^             | ^             | 2.11911e+02   | 1.41840e+03           | -2.02502e+03  | 6.45097e+03   | -6.84924e+03  | 
| Ti-6Al-4V                 | loglog               | 0.057                | 1173.150              | 2.00856e-06   | -2.65948e-04  | 8.83421e-03   | 2.11774e-02   | ^             | ^             | ^             | ^             | ^             | 4.64694e-01   | 8.20600e+01           | -3.19627e+00  | 7.71656e+00   | -5.71575e+00  | 
| Torlon                    | loglog               | 0.303                | 2.977                 | 1.34033e-03   | -8.17215e-03  | 1.52769e-02   | -7.52786e-04  | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| VESPEL                    | loglog               | 0.322                | 3.032                 | 3.40509e-04   | -1.80723e-03  | 3.15702e-03   | 2.53032e-04   | ^             | ^             | ^             | ^             | ^             | 0.00000e+00   | 0.00000e+00           | ^             | ^             | ^             | 
| Wood                      | powerlaw             | 0.034                | 1000.000              | 9.30000e+00   | 2.70000e+00   | ^             | ^             | ^             | ^             | ^             | ^             | ^             | ^             | ^                     | ^             | ^             | ^             | 
