Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i,A,B,C,D,E,F,erf param
Inconel_718,polylog,6.000,275.000,2.0,-8.28921e+00,3.94470e+01,-8.34353e+01,9.81690e+01,-6.72088e+01,2.67082e+01,-5.72050e+00,5.11150e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Invar_Fe36Ni,polylog,4.000,300.000,2.0,-2.70640e+00,8.51910e+00,-1.59230e+01,1.82760e+01,-1.19116e+01,4.40318e+00,-8.60180e-01,6.85080e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kapton,polylog,4.000,300.000,2.0,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
KaptonA,polylog,4.000,300.000,??,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kevlar49_Composite_Aramid,NIST-experf,6.000,302.000,7,-2.65000e+00,1.98664e+00,1.24851e+00,5.70000e-01,-8.00000e+00,7.77857e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kevlar49_Fiber_Aramid,NIST-experf,0.100,291.000,3,-2.42190e+00,1.98664e+00,1.25744e+00,9.61209e-01,-9.61060e+00,7.77857e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Lead,polylog,4.000,296.000,2.0,3.89635e+01,-2.21405e+02,5.97566e+02,-9.00938e+02,8.16405e+02,-4.55083e+02,1.52940e+02,-2.84512e+01,2.25162e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Manganin,TchebyLnT,0.100,300.000,??,5.00000e+00,-2.31000e+00,5.71000e+00,-7.43946e-01,4.43023e+00,-3.91106e-01,-3.69351e-01,9.05807e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Molybdenum,polylog,2.000,373.000,3.0,1.07826e+01,-7.21307e+01,2.28574e+02,-3.84504e+02,3.81438e+02,-2.28838e+02,8.12666e+01,-1.56910e+01,1.26814e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
MylarPET,polylog,1.000,83.000,1.0,-1.37737e+00,-3.40668e+00,2.05842e+01,-5.31244e+01,7.32476e+01,-5.76546e+01,2.61192e+01,-6.34790e+00,6.40331e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
